HHKEY,ZIP_CODE,REC,FRE,MON,CC_CARD,AVRG,PC_CALC20,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,PCOLLSPND,AMSPEND,PSSPEND,CCSPEND,AXSPEND,TMONSPEND,OMONSPEND,SMONSPEND,PREVPD,GMP,PROMOS,DAYS,FREDAYS,MARKDOWN,CLASSES,COUPONS,STYLES,STORES,STORELOY,VALPHON,WEB,MAILED,RESPONDED,RESPONSERATE,HI,LTFREDAY,CLUSTYPE,PERCRET,RESP
9.9556E+12,1450,153,1,489.93,0,489.93,11,0,0,0,0.22,0.16,0.08,0,0,0,0.53,0,0,0,0,0,0,0,489.93,0,0,0,489.93,0,0.6,15,468,468,0,4,0,7,1,4665,N,0,6,1,16.67,36.52,234,4,0,0
9.9556E+12,1451,269,1,99,0,99,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0.3,6,269,269,0.5,1,0,2,1,4686,N,0,0,0,0,100,269,1,0,0
9.9556E+12,1453,342,1,140.39,1,140.39,16,0.61,0,0,0.25,0,0,0,0,0,0,0,0,0.12,0,0,0,122.39,18,0,0,0,0,0,0.61,16,342,342,0.14,3,0,4,2,2500,Y,0,5,0,0,46.09,171,4,0,0
9.9556E+12,1503,108,8,1250.23,1,156.27,19,0.25,0.01,0.12,0.001666,0.21,0.24,0.005528,0.01,0.01,0,0,0.002211,0,0.002764,0,0,173.24,14.99,1062,0,0,102.23,170.24,0.49,27,586,73.25,0.21,12,2,30,5,2638,Y,0,9,3,33.33,18.5,26.63,6,0.08,0
9.9556E+12,1543,66,10,591.95,1,59.19,16,0.21,0.11,0,0.16,0,0,0.05,0.16,0.28,0,0,0,0,0,0,0,431.95,160,0,90.97,0,223.97,39,0.62,19,702,70.2,0.13,8,0,22,4,2638,Y,0,10,5,50,19.77,22.64,6,0,0
9.9556E+12,1535,5,3,538.81,1,179.6,16,0.29,0.07,0.36,0,0.14,0,0.08,0,0,0,0,0,0,0,0,0,450.82,87.99,0,245.99,245.99,418.81,0,0.66,15,380,126.66,0.03,8,0,19,2,2638,Y,0,8,0,0,25.05,20,16,0.04,0
9.9556E+12,1570,76,1,255.46,1,255.46,16,0,0,0,0.06,0.6,0.1,0,0,0.19,0,0,0,0,0.02,0.38,0,249.46,6,0,255.46,0,255.46,0,0.54,8,76,76,0.2,5,0,6,2,2638,Y,0,3,0,0,57.23,25.33,18,0,0
9.9556E+12,1532,38,4,543.24,1,135.81,16,0.2,0.06,0,0.18,0.08,0.11,0.08,0.03,0.09,0,0,0,0,0.02,0,0,391.25,151.99,0,322.75,0,322.75,170.99,0.59,22,522,130.5,0.23,11,0,24,2,2638,Y,0,10,2,20,11.76,32.62,4,0.12,0
9.9556E+12,1510,118,9,501.23,1,55.69,16,0.42,0,0,0,0.21,0,0,0.06,0.06,0,0,0,0.01,0,0,0,457.73,43.5,0,0,0,39.99,116,0.53,20,684,76,0.29,7,1,19,2,2638,Y,1,10,5,50,23.63,12.66,6,0.27,0
9.9556E+12,1566,101,6,577.94,0,96.32,16,0.19,0,0,0,0.09,0.08,0.3,0,0.22,0,0,0,0.04,0,0,0,532.96,44.98,0,0,0,577.94,0,0.6,16,518,86.33,0.05,6,0,21,2,2638,Y,0,9,2,22.22,20.12,37,16,0.04,0
9.9556E+12,1545,80,4,405.98,0,101.49,11,0.45,0,0,0.09,0,0.31,0,0.13,0,0,0,0,0,0,0,0,0,366,39.98,29,0,29,0,0.61,19,362,90.5,0.08,6,0,12,2,4665,N,0,6,2,33.33,33.28,51.71,8,0,0
9.9556E+12,1540,101,6,459.48,1,76.58,11,0.14,0.11,0,0.03,0,0,0.19,0,0.33,0,0,0,0.07,0,0,0,48,411.48,0,0,0,333.48,0,0.63,15,687,114.5,0.1,7,1,16,2,4665,Y,0,8,3,37.5,18.69,29.86,16,0.12,1
9.9556E+12,1520,362,1,114,0,114,11,0,0,0,0,0,0,0,0,0.85,0,0,0.08,0,0.05,0,0,16,98,0,0,0,0,0,0.71,12,588,588,0,3,0,3,2,4736,N,0,4,1,25,74.94,84,4,0,0
9.9556E+12,1545,78,1,83.97,0,83.97,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83.97,0,83.97,0,83.97,0,0.48,1,78,78,0.3,1,0,3,1,22,Y,0,0,0,0,100,78,23,0,0
9.9556E+12,1588,38,9,870.08,1,96.67,16,0.48,0,0.11,0.05,0.08,0,0.07,0,0.09,0,0,0.04,0.04,0,0,0,784.59,85.49,0,73,0,620.12,0,0.57,9,265,29.44,0.08,12,0,28,2,2638,Y,0,2,0,0,27.78,9.46,18,0,1
9.9556E+12,1545,68,5,244.87,0,48.97,11,0,0.12,0,0,0.12,0.48,0.06,0.2,0,0,0,0,0,0,0.68,0,41.88,202.99,0,28.88,0,28.88,0,0.59,23,563,112.6,0.12,5,0,6,4,4665,Y,0,10,2,20,77.31,62.55,8,0,0
9.9556E+12,1588,98,6,273.98,1,45.66,16,0,0.13,0.39,0,0.18,0,0,0.1,0,0,0,0,0,0.04,0,0,231.92,42.06,0,0,0,49.99,0,0.58,9,639,106.5,0.19,8,2,15,3,4538,Y,0,1,0,0,22.26,20.61,22,0.15,0
9.9556E+12,1569,61,15,1350.36,1,90.02,11,0.27,0.00191,0,0,0.37,0.22,0,0,0,0,0,0,0.04,0,0.12,0,15.24,994.69,340.43,215.61,0,626.99,57,0.4,25,693,46.2,0.29,12,3,57,5,4665,Y,0,10,5,50,28.8,19.25,18,0.06,0
9.9556E+12,1571,329,1,96,0,96,11,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,96,0,0,0,0,96,0.43,10,660,660,0.2,2,0,5,1,4665,Y,0,4,1,25,92.09,220,29,0,0
9.9556E+12,1527,44,6,786.9,1,131.15,11,0.16,0.01,0,0.26,0.23,0.16,0.004219,0.06,0,0,0,0,0.03,0.05,0.06,0,0,786.9,0,19.97,0,279.93,0,0.56,28,663,110.5,0.18,14,2,29,3,4538,Y,0,10,0,0,19.28,39,23,0,0
9.9556E+12,1520,320,5,408.93,0,81.78,16,0.42,0.17,0.11,0,0,0,0.03,0.06,0,0,0,0,0,0.1,0,0,393.93,15,0,0,0,0,189.97,0.54,18,690,138,0.09,8,0,21,3,2638,Y,0,10,2,20,24.06,27.6,6,0.08,0
9.9556E+12,1520,21,6,241.44,0,40.24,11,0,0,0,0.4,0,0.41,0,0,0,0,0,0,0.1,0,0.3,0,23.99,217.45,0,161.45,35,161.45,0,0.34,7,248,41.33,0.34,3,0,14,3,4665,Y,0,0,0,0,43.95,19.07,23,0.08,0
9.9556E+12,1570,141,1,214.17,1,214.17,11,0,0,0,0.71,0,0,0,0.28,0,0,0,0,0,0,0,0,11.69,202.48,0,0,0,214.17,0,0.62,6,271,271,0.1,2,1,8,2,4665,Y,0,0,0,0,58.82,67.75,22,0,0
9.9556E+12,1532,364,1,117.99,0,117.99,11,0,0,0.08,0.25,0,0,0,0.49,0,0,0,0,0.16,0,0,0,10,107.99,0,0,0,0,0,0.55,16,364,364,0.07,4,0,4,2,4665,Y,0,4,0,0,34.21,182,1,0,0
9.9556E+12,1523,61,11,1188.33,0,108.03,16,0.08,0,0.02,0.08,0.13,0.06,0,0.08,0.06,0.13,0,0,0.009078,0.02,0,0,1160.34,27.99,0,0,0,356.43,278.92,0.6,17,500,45.45,0.06,16,0,33,3,2638,Y,0,9,5,55.56,6.88,17.85,6,0.38,0
9.9556E+12,1527,145,2,170.48,1,85.24,11,0.27,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,170.48,0,0,0,52.98,0,0.31,18,474,237,0.4,4,0,4,1,4665,Y,0,9,1,11.11,59.8,118.5,18,0,0
9.9556E+12,1541,128,2,282.45,0,141.22,11,0.35,0.05,0,0,0.21,0,0,0,0,0.34,0,0.03,0,0,0,0,15,267.45,0,0,0,49.98,232.47,0.48,19,677,338.5,0.21,6,0,7,3,4665,Y,0,6,1,16.67,29.59,61.54,6,0,0
9.9556E+12,1520,131,6,512.97,0,85.49,18,0.05,0.19,0,0.01,0.25,0.26,0,0,0.15,0,0,0.02,0.03,0,0.52,492.98,0,19.99,0,0,0,163.99,198,0.57,18,529,88.16,0.07,9,0,14,2,3910,N,0,7,2,28.57,47.33,44.08,23,0,0
9.9556E+12,1522,169,5,833.96,1,166.79,16,0.39,0.03,0.03,0.06,0.14,0,0.17,0.11,0,0,0.04,0,0,0,0,0,815.35,18.61,0,0,0,269,127.99,0.58,21,693,138.6,0.18,10,3,26,2,4665,Y,0,8,2,25,22.72,36.47,6,0,1
9.9556E+12,1520,145,1,234.99,1,234.99,11,0.12,0,0,0.16,0,0,0,0,0,0.51,0,0.09,0.1,0,0,0,0,234.99,0,0,0,234.99,0,0.63,23,701,701,0,6,0,6,1,4665,Y,0,9,1,11.11,32.35,33.38,10,0,1
9.9556E+12,1564,56,3,243.43,0,81.14,16,0.55,0.07,0.06,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,143.46,99.97,0,68.95,0,185.94,0,0.43,6,363,121,0.18,6,0,13,2,2638,Y,0,0,0,0,37.35,45.37,6,0,0
9.9556E+12,1588,40,3,459.98,0,153.32,11,0.16,0,0,0.12,0.23,0.13,0,0.14,0.18,0,0,0,0,0,0,0,0,459.98,0,20.99,0,20.99,0,0.65,17,543,181,0.09,7,0,9,2,4538,Y,0,7,1,14.29,17.44,90.5,18,0,0
9.9556E+12,1545,322,1,232.89,0,232.89,16,0.72,0.19,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,49.98,182.91,0,0,0,0,232.89,0.54,20,322,322,0,3,0,5,2,2638,Y,0,5,0,0,57.57,53.66,4,0,0
9.9556E+12,95354,92,4,468.87,0,117.21,11,0,0,0,0,0.51,0,0,0.18,0,0.3,0,0,0,0,0,0,176.49,292.38,0,0,0,76.98,133.65,0.48,13,314,78.5,0.23,5,1,7,3,2638,Y,0,4,1,25,38.72,62.8,17,0,0
9.9556E+12,3063,274,3,96.23,0,32.07,11,0,0.1,0,0.2,0.15,0,0,0,0,0,0,0.08,0.09,0.02,0,6.5,0,89.73,0,0,0,0,0,0.44,7,344,114.66,0.18,9,0,10,3,4665,N,0,0,0,0,9.65,57.33,3,0.46,0
9.9556E+12,1612,129,10,1163.79,1,116.37,11,0.3,0.01,0.03,0.04,0.1,0.03,0.07,0.02,0.25,0,0,0,0.03,0.01,0.08,0,631.94,531.85,0,0,0,574.81,0,0.62,22,607,60.7,0.15,17,4,36,3,4665,Y,1,9,3,33.33,19.23,20.93,6,0.06,1
9.9556E+12,1609,73,5,257.09,0,51.41,11,0,0,0,0.26,0.25,0.17,0,0,0,0,0,0,0.19,0,0,0,7.5,249.59,0,201.6,0,201.6,0,0.59,1,269,53.8,0.19,6,0,11,2,4665,Y,0,0,0,0,22.43,44.83,32,0.34,0
9.9556E+12,1606,64,6,452.46,1,75.41,16,0.04,0.05,0.08,0.16,0.19,0,0.21,0.11,0.09,0,0,0,0,0.03,0,0,295.46,157,0,41.99,0,187.98,22.49,0.58,21,691,115.16,0.19,10,3,15,2,2638,Y,0,9,3,33.33,14.52,24.67,22,0,0
9.9556E+12,1606,169,1,182.5,0,182.5,11,0.53,0,0,0.13,0,0,0.3,0,0,0,0,0,0,0.02,0,0,0,182.5,0,0,0,182.5,0,0.59,10,610,610,0.2,4,0,8,1,2638,Y,0,3,0,0,39.85,101.66,10,0,0
9.9556E+12,1606,89,5,250.1,1,50.02,11,0.26,0.23,0.12,0.13,0.15,0,0.07,0,0,0,0,0,0,0,0,0,150.5,99.6,0,62.95,0,132.16,0,0.23,8,236,47.2,0.27,9,1,17,2,4665,Y,0,2,1,50,19.2,11.23,20,0,0
9.9556E+12,1609,47,3,300.94,1,100.31,11,0.44,0.13,0,0,0,0,0.29,0,0.11,0,0,0,0,0,0,0,0,300.94,0,83.95,0,201.94,0,0.42,22,546,182,0.33,5,0,11,2,4244,Y,0,10,1,10,32.25,49.63,1,0,0
9.9556E+12,1606,7,12,1562.3,1,130.19,11,0.12,0.03,0.008791,0.23,0.26,0.09,0,0.05,0.06,0,0.08,0,0,0.006948,0.09,0,7.44,1554.86,0,255.09,101.12,751.84,212.98,0.55,28,689,57.41,0.27,15,5,45,3,3,Y,1,10,6,60,17.22,18.13,10,0.02,0
9.9556E+12,1602,78,25,2098.7,0,83.94,16,0.12,0.01,0.006323,0.06,0.23,0.12,0,0.06,0.19,0.05,0,0.01,0.03,0,0,5,1659.84,433.86,0,164.95,0,1452.66,12.74,0.49,20,685,27.4,0.22,20,1,67,5,3000,Y,0,11,8,72.73,14,5.31,1,0.05,0
9.9556E+12,1606,16,17,522,1,30.7,18,0.06,0.06,0,0.07,0.15,0.14,0.03,0,0,0,0,0.004275,0.02,0.02,0,479.41,0,42.59,0,29,29,190.45,202.48,0.33,18,648,38.11,0.29,18,1,33,2,5605,Y,0,8,4,50,6.03,7.8,10,0.67,1
9.9556E+12,1607,110,2,280.98,0,140.49,11,0,0,0,0.33,0,0.2,0.14,0,0.31,0,0,0,0,0,0,39.99,0,240.99,0,0,0,240.99,0,0.63,4,266,133,0.06,4,0,5,2,4665,Y,0,0,0,0,27.43,66.5,15,0,0
9.9556E+12,1602,33,2,282.37,1,141.18,16,0,0,0,0.06,0.6,0.16,0,0.15,0,0,0,0,0,0,0.48,0,224.13,58.24,0,282.37,0,282.37,0,0.49,1,54,27,0.3,4,1,6,2,2638,Y,0,0,0,0,65.98,3.17,18,0,1
9.9556E+12,1602,26,6,352.89,0,58.81,16,0.15,0.09,0.09,0.05,0.22,0,0.09,0.06,0.2,0,0,0,0,0.004251,0,0,343.4,9.49,0,142.42,29.98,302.91,0,0.42,8,581,96.83,0.34,9,2,18,2,2638,Y,0,2,2,100,15.46,32.27,8,0,0
9.9556E+12,1609,271,1,116.75,0,116.75,11,0.49,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,116.75,0,0,0,0,0,0.62,13,608,608,0.14,2,0,3,1,4665,N,0,7,0,0,75.54,101.33,34,0,0
9.9556E+12,1605,43,2,83.97,0,41.98,11,0.49,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,83.97,0,41.99,0,83.97,0,0.27,8,482,241,0.35,2,0,3,1,4665,Y,0,0,0,0,50,160.66,23,0,0
9.9556E+12,1603,278,1,79.98,1,79.98,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.98,0,0,0,0,0,0.59,4,697,697,0.14,1,0,2,1,2638,Y,0,0,0,0,100,116.16,15,0,0
9.9556E+12,1585,140,2,127,0,63.5,11,0.46,0,0.3,0.22,0,0,0,0,0,0,0,0,0,0,0,59,0,68,0,0,0,59,0,0.63,11,587,293.5,0.18,3,0,4,2,4665,Y,0,6,1,16.67,36.22,117.4,16,0,0
9.9556E+12,1605,119,1,137,0,137,11,0,0,0,0.28,0,0,0.71,0,0,0,0,0,0,0,0,0,0,137,0,0,0,137,0,0.68,7,119,119,0,2,0,3,1,4665,Y,0,0,0,0,59.27,119,39,0,0
9.9556E+12,1612,173,2,292.69,1,146.34,16,0.39,0,0,0.07,0.24,0,0,0.24,0,0,0,0.03,0,0,0,0,184.76,107.93,0,0,0,48.74,243.95,0.5,18,689,344.5,0.12,6,1,9,2,2638,Y,0,9,2,22.22,28.55,38.27,6,0,1
9.9556E+12,1606,49,7,189.08,0,27.01,16,0.15,0.03,0.15,0.03,0.12,0,0.28,0,0,0,0,0.04,0,0,0,0,46.49,142.59,0,59.47,0,114.6,0,0.36,10,369,52.71,0.34,10,0,16,2,5068,Y,0,1,0,0,14.74,16.04,23,0.2,1
9.9556E+12,1612,194,1,240,0,240,16,0.2,0,0,0.3,0.28,0,0.2,0,0,0,0,0,0,0,0,0,157,83,0,0,0,0,0,0.67,7,553,553,0.07,4,0,6,2,1603,N,1,1,0,0,25.85,69.12,6,0,0
9.9556E+12,1603,31,10,888.87,0,88.88,16,0.11,0.04,0.03,0.12,0.26,0.2,0.14,0.03,0,0,0,0.01,0.03,0,0.06,0,836.89,51.98,0,266.95,0,412.95,0,0.44,4,264,26.4,0.25,15,0,33,2,2638,Y,0,0,0,0,16.92,16.5,32,0,0
9.9556E+12,1757,39,5,674.42,1,134.88,16,0.32,0.02,0,0.03,0.08,0,0.09,0.1,0.18,0.11,0,0,0.02,0,0,0,657.41,17.01,0,28.99,0,579.44,74.99,0.54,17,676,135.2,0.25,10,3,22,2,2664,Y,0,5,1,20,18.03,52,10,0,0
9.9556E+12,1721,75,5,760.48,1,152.09,11,0.08,0.03,0,0.14,0.13,0.22,0.15,0,0.07,0.13,0,0,0,0.006719,0.13,0,29,373.25,358.23,78.96,0,760.48,0,0.45,23,180,36,0.16,11,1,26,4,4244,Y,0,9,3,33.33,16.67,13.84,4,0,1
9.9556E+12,1748,138,3,507.98,1,169.32,16,0.66,0,0,0.12,0,0,0,0,0.17,0,0,0,0.03,0,0,0,88,419.98,0,0,0,244.99,0,0.61,19,595,198.33,0.12,6,0,17,3,2812,Y,0,9,2,22.22,48.77,37.18,1,0,0
9.9556E+12,1720,8,31,3450.58,1,111.3,18,0.2,0.01,0.12,0.05,0.19,0.03,0.02,0.05,0,0,0.06,0.009675,0.06,0.00891,0,3106.53,59.5,144.6,139.95,529.99,306,1023.4,88.8,0.48,27,558,18,0.33,27,4,113,5,3741,Y,0,9,6,66.67,10.97,9.14,8,0.17,0
9.9556E+12,1740,267,1,184.47,0,184.47,11,0.17,0,0,0.06,0.26,0,0,0,0,0.49,0,0,0,0,0,0,0,184.47,0,0,0,0,0,0.3,10,267,267,0.38,4,0,5,1,4582,Y,0,2,0,0,34.9,267,4,0,0
9.9556E+12,1757,63,3,422.73,1,140.91,16,0.22,0,0,0,0,0.16,0.09,0.12,0.39,0,0,0,0,0,0,0,354.73,68,0,280.73,0,280.73,0,0.41,16,634,211.33,0.32,6,0,15,4,2812,Y,0,7,1,14.29,25.77,48.76,18,0,0
9.9556E+12,1740,73,1,145.67,1,145.67,11,0.32,0.5,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,145.67,0,145.67,0,145.67,0,0.3,1,73,73,0.4,4,1,13,1,4686,Y,0,0,0,0,37.3,73,4,0,0
9.9556E+12,1741,14,68,4513.58,1,66.37,11,0.17,0.02,0.05,0.05,0.05,0.06,0.06,0.04,0.02,0,0.004543,0.01,0.01,0.003071,0.02,421.08,499.38,3593.12,0,572.57,302.25,2400.05,416.42,0.29,30,686,10.08,0.48,28,6,248,9,4686,Y,0,11,8,72.73,5.11,4.6,1,0.64,1
9.9556E+12,1748,153,1,431.35,0,431.35,16,0,0,0.09,0.18,0.37,0,0.06,0.13,0.11,0,0,0,0,0.02,0,0,289.91,141.44,0,0,0,431.35,0,0.48,13,478,478,0,9,0,15,2,2638,Y,0,7,0,0,21.86,119.5,1,0,0
9.9556E+12,1720,5,6,515.21,0,85.86,16,0.17,0,0,0.19,0,0.1,0,0.3,0.08,0,0,0,0,0.06,0.31,0,273.22,241.99,0,121.99,108,121.99,0,0.61,15,289,48.16,0.08,9,0,15,3,4686,Y,0,4,1,25,28.36,24.08,14,0.07,0
9.9556E+12,1720,202,1,88,0,88,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0.69,10,202,202,0,1,0,1,1,4686,N,0,2,0,0,100,202,4,0,0
9.9556E+12,1867,80,6,1462.95,1,243.82,16,0.1,0.004481,0.04,0.06,0.18,0.14,0.06,0.06,0.14,0.07,0,0,0,0.02,0.03,0,1419.94,43.01,0,98.97,0,423.97,0,0.65,23,693,115.5,0.13,16,3,40,3,2611,Y,0,10,4,40,11.19,34.65,3,0.07,1
9.9556E+12,1810,235,5,315.49,0,63.09,16,0.04,0,0,0,0.24,0.14,0,0,0,0,0.34,0,0,0,0.38,0,157.49,158,0,0,0,0,0,0.6,17,433,86.6,0.27,5,0,6,3,2738,N,0,4,0,0,34.94,36.08,4,0.29,0
9.9556E+12,1864,35,9,971.91,0,107.99,16,0.14,0.02,0.07,0.04,0.06,0,0.04,0.02,0.05,0,0,0.006029,0.05,0.04,0,0,919.74,52.17,0,0,0,52.17,78.99,0.58,22,432,48,0.17,19,0,54,2,2738,Y,1,9,4,44.44,4.47,21.6,4,0.7,0
9.9556E+12,1840,94,2,246.21,0,123.1,11,0.22,0.01,0.15,0.12,0.15,0,0.09,0,0,0,0,0,0,0.004744,0,0,0,246.21,0,0,0,17.02,0,0.48,14,283,141.5,0.11,8,0,14,1,4582,Y,0,4,1,25,12.4,141.5,45,0.28,0
9.9556E+12,1860,39,17,1533.13,1,90.18,16,0.18,0.02,0.05,0.03,0.11,0,0.05,0.07,0.19,0,0.08,0,0.03,0.006723,0,0,1495.13,38,0,516.73,0,598.72,115.6,0.63,20,693,40.76,0.13,19,3,49,6,2738,Y,0,9,5,55.56,10.76,10.04,10,0.16,1
9.9556E+12,1801,246,1,104.48,0,104.48,11,0.43,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0.56,0,0,104.48,0,0,0,0,0,0.56,7,246,246,0.15,2,0,3,1,4686,N,0,1,0,0,82.72,246,12,0,0
9.9556E+12,1801,26,2,144.98,0,72.49,18,0.13,0,0.06,0.24,0,0.2,0,0,0.34,0,0,0,0,0,0,75,0,69.98,0,75,75,75,0,0.3,6,449,224.5,0.34,5,0,5,2,3741,Y,0,0,0,0,24.37,64.14,12,0,1
9.9556E+12,1876,266,1,156.49,0,156.49,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.49,0,0,0,0,0,0.48,12,701,701,0.38,1,0,5,1,4582,Y,0,2,0,0,100,350.5,4,0,0
9.9556E+12,1832,91,3,112.97,0,37.65,18,0,0.09,0,0,0,0.79,0,0,0,0,0,0,0.11,0,0,0,0,112.97,0,0,0,10.49,0,0.53,6,493,164.33,0.13,4,0,4,1,3808,N,0,4,0,0,65.52,98.6,20,0,0
9.9556E+12,1821,24,9,1339.31,1,148.81,16,0.25,0.07,0,0.07,0,0,0.2,0.05,0.16,0,0,0,0.01,0.003174,0,0,1212.36,43.99,82.96,295.81,0,1240.32,0,0.59,12,673,74.77,0.16,10,3,52,4,5117,Y,0,7,4,57.14,14.95,29.26,15,0.17,0
